pais;regiao;total_de_ataques;quant_armas_usadas_ataques;quant_tipo_ataques_diferentes;indice_de_periculosidade
Iraq;Middle East & North Africa;19496;8;8;304,63
Pakistan;South Asia;11513;9;8;159,9
India;South Asia;8127;9;8;112,88
Afghanistan;South Asia;8112;9;8;112,67
El Salvador;Central America & Caribbean;4961;7;7;101,24
Peru;South America;5616;7;8;100,29
Colombia;South America;6375;8;8;99,61
Philippines;Southeast Asia;4261;6;8;88,77
United Kingdom;Western Europe;4773;9;8;66,29
Nicaragua;Central America & Caribbean;1772;4;7;63,29
Spain;Western Europe;3019;6;8;62,9
Egypt;Middle East & North Africa;1881;4;8;58,78
Sri Lanka;South Asia;2618;6;8;54,54
Somalia;Sub-Saharan Africa;2116;5;8;52,9
Thailand;Southeast Asia;2890;7;8;51,61
South Africa;Sub-Saharan Africa;1804;5;7;51,54
Turkey;Middle East & North Africa;2985;8;8;46,64
Lebanon;Middle East & North Africa;2098;6;8;43,71
Algeria;Middle East & North Africa;2160;7;8;38,57
Guatemala;Central America & Caribbean;1687;6;8;35,15
Chile;South America;2239;8;8;34,98
Israel;Middle East & North Africa;1942;7;8;34,68
France;Western Europe;2369;9;8;32,9
Syria;Middle East & North Africa;1274;6;7;30,33
Russia;Eastern Europe;1939;8;8;30,3
Greece;Western Europe;1182;5;8;29,55
Nigeria;Sub-Saharan Africa;1377;6;8;28,69
United States;North America;2512;11;8;28,55
Yemen;Middle East & North Africa;1292;6;8;26,92
West Bank and Gaza Strip;Middle East & North Africa;1671;8;8;26,11
Italy;Western Europe;1436;7;8;25,64
Ukraine;Eastern Europe;765;5;7;21,86
Burundi;Sub-Saharan Africa;513;4;6;21,38
Libya;Middle East & North Africa;1156;7;8;20,64
Bangladesh;South Asia;927;6;8;19,31
Nepal;South Asia;771;5;8;19,28
Angola;Sub-Saharan Africa;414;5;5;16,56
Sudan;Sub-Saharan Africa;489;4;8;15,28
Iran;Middle East & North Africa;581;5;8;14,53
Myanmar;Southeast Asia;343;4;6;14,29
Argentina;South America;696;7;7;14,2
Indonesia;Southeast Asia;557;6;7;13,26
Bolivia;South America;287;4;6;11,96
Germany;Western Europe;575;7;7;11,73
West Germany (FRG);Western Europe;510;7;7;10,41
Yugoslavia;Eastern Europe;185;3;6;10,28
Uganda;Sub-Saharan Africa;279;5;6;9,3
Croatia;Eastern Europe;53;2;3;8,83
Kenya;Sub-Saharan Africa;338;5;8;8,45
Rwanda;Sub-Saharan Africa;125;3;5;8,33
Portugal;Western Europe;129;4;4;8,06
Luxembourg;Western Europe;15;1;2;7,5
Mali;Sub-Saharan Africa;299;5;8;7,48
Saudi Arabia;Middle East & North Africa;255;5;7;7,29
Honduras;Central America & Caribbean;287;5;8;7,18
Ireland;Western Europe;285;5;8;7,13
Georgia;Central Asia;190;4;7;6,79
Democratic Republic of the Congo;Sub-Saharan Africa;159;4;6;6,63
Mexico;North America;404;8;8;6,31
Bosnia-Herzegovina;Eastern Europe;149;4;6;6,21
Bahrain;Middle East & North Africa;148;4;6;6,17
Cambodia;Southeast Asia;213;5;7;6,09
Brunei;Southeast Asia;6;1;1;6,0
Mozambique;Sub-Saharan Africa;209;5;7;5,97
Kosovo;Eastern Europe;177;5;6;5,9
Cyprus;Western Europe;116;4;5;5,8
Guadeloupe;Central America & Caribbean;49;3;3;5,44
Ecuador;South America;186;5;7;5,31
Laos;Southeast Asia;21;2;2;5,25
Haiti;Central America & Caribbean;182;5;7;5,2
Japan;East Asia;387;11;7;5,03
Brazil;South America;211;6;7;5,02
Bhutan;South Asia;5;1;1;5,0
Namibia;Sub-Saharan Africa;124;5;5;4,96
Panama;Central America & Caribbean;115;4;6;4,79
Soviet Union;Eastern Europe;76;3;6;4,22
Tajikistan;Central Asia;165;5;8;4,13
Ethiopia;Sub-Saharan Africa;122;5;6;4,07
Venezuela;South America;223;7;8;3,98
Jordan;Middle East & North Africa;94;5;5;3,76
South Sudan;Sub-Saharan Africa;88;4;6;3,67
China;East Asia;176;7;7;3,59
Rhodesia;Sub-Saharan Africa;70;4;5;3,5
Belgium;Western Europe;135;6;7;3,21
Senegal;Sub-Saharan Africa;88;4;7;3,14
Uzbekistan;Central Asia;18;2;3;3,0
Zambia;Sub-Saharan Africa;59;4;5;2,95
Switzerland;Western Europe;101;5;7;2,89
Dominican Republic;Central America & Caribbean;81;4;7;2,89
Macedonia;Eastern Europe;99;5;7;2,83
Moldova;Eastern Europe;17;2;3;2,83
East Germany (GDR);Eastern Europe;34;3;4;2,83
Uruguay;South America;67;4;6;2,79
Costa Rica;Central America & Caribbean;58;3;7;2,76
Netherlands;Western Europe;113;7;6;2,69
Togo;Sub-Saharan Africa;43;4;4;2,69
Suriname;South America;53;3;7;2,52
Albania;Eastern Europe;75;5;6;2,5
Papua New Guinea;Australasia & Oceania;68;4;7;2,43
Cameroon;Sub-Saharan Africa;58;4;6;2,42
Republic of the Congo;Sub-Saharan Africa;19;2;4;2,38
Zimbabwe;Sub-Saharan Africa;71;6;5;2,37
Hungary;Eastern Europe;44;4;5;2,2
Tunisia;Middle East & North Africa;65;5;6;2,17
Australia;Australasia & Oceania;91;7;6;2,17
Zaire;Sub-Saharan Africa;34;4;4;2,13
Central African Republic;Sub-Saharan Africa;74;5;7;2,11
